epoch,accuracy,learning_rate,loss,top_2_accuracy,val_accuracy,val_loss,val_top_2_accuracy
0,0.19232876598834991,0.0005000000237487257,2.580848217010498,0.3945205509662628,0.06546854972839355,1.7097806930541992,0.4980744421482086
1,0.20657534897327423,0.0005000000237487257,2.4024500846862793,0.4191780686378479,0.19383825361728668,1.6609305143356323,0.41848522424697876
2,0.2005479484796524,0.0005000000237487257,2.3010458946228027,0.40876713395118713,0.23234917223453522,1.6352221965789795,0.4364570081233978
3,0.18849314749240875,0.0005000000237487257,2.2023305892944336,0.40383562445640564,0.19383825361728668,1.6606501340866089,0.4364570081233978
4,0.19287671148777008,0.0005000000237487257,2.207305908203125,0.40712329745292664,0.19383825361728668,1.7574657201766968,0.4364570081233978
5,0.18356163799762726,0.0005000000237487257,2.171018362045288,0.38082191348075867,0.19383825361728668,1.7059935331344604,0.4364570081233978
6,0.17698630690574646,0.0005000000237487257,2.111767292022705,0.4000000059604645,0.19512194395065308,1.6873526573181152,0.4364570081233978
7,0.16876712441444397,0.0005000000237487257,2.093353509902954,0.3835616409778595,0.20924261212348938,1.670910358428955,0.4364570081233978
8,0.18246574699878693,0.0005000000237487257,2.025611162185669,0.3961643874645233,0.19640564918518066,1.6802341938018799,0.4364570081233978
9,0.1764383614063263,0.0005000000237487257,2.062222957611084,0.38082191348075867,0.19383825361728668,1.6584930419921875,0.4364570081233978
10,0.1879452019929886,0.0005000000237487257,2.043046236038208,0.3895890414714813,0.19383825361728668,1.6506750583648682,0.528883159160614
11,0.2005479484796524,0.0002500000118743628,1.9892876148223877,0.41205480694770813,0.19383825361728668,1.6674259901046753,0.4364570081233978
12,0.2071232944726944,0.0002500000118743628,1.9541475772857666,0.4027397334575653,0.19512194395065308,1.674301028251648,0.4364570081233978
13,0.18849314749240875,0.0002500000118743628,1.9646307229995728,0.388493150472641,0.19512194395065308,1.6735445261001587,0.43388959765434265
14,0.18739725649356842,0.0002500000118743628,1.9380393028259277,0.37643834948539734,0.19512194395065308,1.6621625423431396,0.4364570081233978
15,0.17424657940864563,0.0002500000118743628,1.9724177122116089,0.3835616409778595,0.19512194395065308,1.6632499694824219,0.5109114050865173
16,0.19068492949008942,0.0002500000118743628,1.9552065134048462,0.3994520604610443,0.20025673508644104,1.6466803550720215,0.49550706148147583
17,0.1939726024866104,0.0002500000118743628,1.9293767213821411,0.39726027846336365,0.21566110849380493,1.628490686416626,0.4364570081233978
18,0.17698630690574646,0.0002500000118743628,1.9479193687438965,0.37808218598365784,0.21566110849380493,1.6051896810531616,0.43132221698760986
19,0.1972602754831314,0.0002500000118743628,1.8752515316009521,0.40821918845176697,0.21694479882717133,1.6062703132629395,0.4364570081233978
20,0.1616438329219818,0.0002500000118743628,1.9560922384262085,0.3709588944911957,0.2207958847284317,1.5950969457626343,0.4364570081233978
21,0.19232876598834991,0.0002500000118743628,1.9038525819778442,0.40493151545524597,0.2195121943950653,1.6015125513076782,0.4364570081233978
22,0.1731506884098053,0.0002500000118743628,1.933085560798645,0.37917807698249817,0.22593067586421967,1.5954264402389526,0.49550706148147583
23,0.17260274291038513,0.0002500000118743628,1.8888570070266724,0.3868493139743805,0.2220795899629593,1.5970449447631836,0.5327342748641968
24,0.18191780149936676,0.0002500000118743628,1.8685370683670044,0.39232876896858215,0.21694479882717133,1.5924419164657593,0.5275995135307312
25,0.18520547449588776,0.0002500000118743628,1.8817436695098877,0.3945205509662628,0.21309371292591095,1.603652000427246,0.4364570081233978
26,0.1731506884098053,0.0002500000118743628,1.9180587530136108,0.38410958647727966,0.21566110849380493,1.5939085483551025,0.4364570081233978
27,0.17753425240516663,0.0002500000118743628,1.8745172023773193,0.38575342297554016,0.2195121943950653,1.5989443063735962,0.4364570081233978
28,0.16712328791618347,0.0002500000118743628,1.877650260925293,0.39232876896858215,0.22593067586421967,1.6051026582717896,0.525032103061676
29,0.18246574699878693,0.0002500000118743628,1.8680871725082397,0.38082191348075867,0.2220795899629593,1.6072311401367188,0.5224646925926208
30,0.18904109299182892,0.0002500000118743628,1.8422096967697144,0.4010958969593048,0.2220795899629593,1.6050550937652588,0.5070603489875793
31,0.20000000298023224,0.0002500000118743628,1.8146114349365234,0.4032876789569855,0.2220795899629593,1.5990324020385742,0.5263158082962036
32,0.18246574699878693,0.0002500000118743628,1.8407912254333496,0.3961643874645233,0.24261873960494995,1.5803340673446655,0.437740683555603
33,0.1649315059185028,0.0002500000118743628,1.8676729202270508,0.3967123329639435,0.23876765370368958,1.5743930339813232,0.5109114050865173
34,0.18246574699878693,0.0002500000118743628,1.8591874837875366,0.3967123329639435,0.2362002581357956,1.5617914199829102,0.5378690361976624
35,0.17753425240516663,0.0002500000118743628,1.8315078020095825,0.38739725947380066,0.23876765370368958,1.5624407529830933,0.5314505696296692
36,0.18684931099414825,0.0002500000118743628,1.8439288139343262,0.3835616409778595,0.24390244483947754,1.5641717910766602,0.4364570081233978
37,0.1879452019929886,0.0002500000118743628,1.8215160369873047,0.38410958647727966,0.24005134403705597,1.5729950666427612,0.4364570081233978
38,0.1846575289964676,0.0002500000118743628,1.8198589086532593,0.40054795145988464,0.23876765370368958,1.5669175386428833,0.4813863933086395
39,0.18191780149936676,0.0002500000118743628,1.827930212020874,0.4032876789569855,0.24005134403705597,1.5662733316421509,0.528883159160614
40,0.19342465698719025,0.0002500000118743628,1.785125732421875,0.4153424799442291,0.24261873960494995,1.562591552734375,0.525032103061676
41,0.17917808890342712,0.0002500000118743628,1.8447074890136719,0.3928767144680023,0.2336328625679016,1.5623528957366943,0.4890885651111603
42,0.18082191050052643,0.0002500000118743628,1.7930011749267578,0.3994520604610443,0.23876765370368958,1.5597480535507202,0.5147625207901001
43,0.19780822098255157,0.0002500000118743628,1.8264062404632568,0.39397260546684265,0.24133504927158356,1.5660185813903809,0.5391527414321899
44,0.1863013654947281,0.0002500000118743628,1.8042172193527222,0.40054795145988464,0.23234917223453522,1.5688310861587524,0.5327342748641968
45,0.1846575289964676,0.0002500000118743628,1.8035622835159302,0.4076712429523468,0.23876765370368958,1.5732685327529907,0.49422335624694824
46,0.17205479741096497,0.0002500000118743628,1.7922282218933105,0.401643842458725,0.24261873960494995,1.559891700744629,0.5224646925926208
