epoch,accuracy,learning_rate,loss,top_2_accuracy,val_accuracy,val_loss,val_top_2_accuracy
0,0.4396825432777405,0.0005000000237487257,1.720622181892395,0.6539682745933533,0.1666666716337204,2.740537643432617,0.3870370388031006
1,0.5611110925674438,0.0005000000237487257,1.3531986474990845,0.7658730149269104,0.1814814805984497,3.1813058853149414,0.32407405972480774
2,0.591269850730896,0.0005000000237487257,1.1460710763931274,0.8095238208770752,0.1666666716337204,3.5408334732055664,0.4277777671813965
3,0.6388888955116272,0.0005000000237487257,1.0158988237380981,0.8436508178710938,0.1666666716337204,5.165168762207031,0.34074074029922485
4,0.6738095283508301,0.0005000000237487257,0.9354116320610046,0.8722222447395325,0.21481481194496155,3.989464044570923,0.4333333373069763
5,0.7039682269096375,0.0005000000237487257,0.8758758902549744,0.8698412775993347,0.3777777850627899,1.702942132949829,0.5907407402992249
6,0.7007936239242554,0.0005000000237487257,0.8384992480278015,0.8880952596664429,0.4055555462837219,1.6870980262756348,0.7277777791023254
7,0.7190476059913635,0.0005000000237487257,0.8160431385040283,0.8888888955116272,0.4740740656852722,2.053175210952759,0.6629629731178284
8,0.7642857432365417,0.0005000000237487257,0.7245349884033203,0.920634925365448,0.45370370149612427,2.0676379203796387,0.7592592835426331
9,0.7452380657196045,0.0005000000237487257,0.706597089767456,0.9230158925056458,0.6722221970558167,0.9449626207351685,0.9314814805984497
10,0.7642857432365417,0.0005000000237487257,0.6162611246109009,0.9277777671813965,0.7314814925193787,0.7711225152015686,0.9444444179534912
11,0.7936508059501648,0.0005000000237487257,0.5804808735847473,0.9412698149681091,0.7314814925193787,0.7638899087905884,0.9333333373069763
12,0.7944444417953491,0.0005000000237487257,0.6056111454963684,0.9404761791229248,0.614814817905426,1.541493535041809,0.8259259462356567
13,0.8158730268478394,0.0005000000237487257,0.540451169013977,0.9476190209388733,0.7537037134170532,0.6027979254722595,0.9611111283302307
14,0.7976190447807312,0.0005000000237487257,0.5862997174263,0.9428571462631226,0.5814814567565918,1.8986393213272095,0.9018518328666687
15,0.8246031999588013,0.0005000000237487257,0.5075830817222595,0.9563491940498352,0.6629629731178284,1.0759048461914062,0.9407407641410828
16,0.803174614906311,0.0005000000237487257,0.5557262897491455,0.9428571462631226,0.7685185074806213,0.8030179738998413,0.9037036895751953
17,0.8261904716491699,0.0005000000237487257,0.46629348397254944,0.9555555582046509,0.8259259462356567,0.5653918981552124,0.979629635810852
18,0.8214285969734192,0.0005000000237487257,0.5423237681388855,0.946825385093689,0.42592594027519226,2.3711516857147217,0.6000000238418579
19,0.7682539820671082,0.0005000000237487257,0.6576224565505981,0.9246031641960144,0.42592594027519226,2.5889413356781006,0.7981481552124023
20,0.8007936477661133,0.0005000000237487257,0.5267812609672546,0.9492063522338867,0.7444444298744202,0.9168553352355957,0.9462962746620178
21,0.8333333134651184,0.0005000000237487257,0.4557268023490906,0.958730161190033,0.7222222089767456,0.8509334921836853,0.9592592716217041
22,0.8349206447601318,0.0005000000237487257,0.44983652234077454,0.9603174328804016,0.5222222208976746,2.1758532524108887,0.8185185194015503
23,0.8484126925468445,0.0005000000237487257,0.43267256021499634,0.9666666388511658,0.8907407522201538,0.31792259216308594,0.9888888597488403
24,0.8682539463043213,0.0005000000237487257,0.38803982734680176,0.961904764175415,0.8666666746139526,0.3485080599784851,0.9814814925193787
25,0.882539689540863,0.0005000000237487257,0.34544315934181213,0.9714285731315613,0.7925925850868225,0.6085785031318665,0.9481481313705444
26,0.8769841194152832,0.0005000000237487257,0.3627927303314209,0.9785714149475098,0.8370370268821716,0.3988127112388611,0.9759259223937988
27,0.8928571343421936,0.0005000000237487257,0.3271055221557617,0.970634937286377,0.7629629373550415,0.6506999731063843,0.9629629850387573
28,0.8746031522750854,0.0005000000237487257,0.3567561209201813,0.9777777791023254,0.7018518447875977,0.8322269916534424,0.9296296238899231
29,0.8809523582458496,0.0005000000237487257,0.3489670157432556,0.9785714149475098,0.7870370149612427,0.6562159657478333,0.9648148417472839
30,0.894444465637207,0.0005000000237487257,0.3238842785358429,0.9801587462425232,0.770370364189148,0.8790906071662903,0.9574074149131775
31,0.8999999761581421,0.0005000000237487257,0.2932717204093933,0.9793650507926941,0.8444444537162781,0.41471806168556213,0.979629635810852
32,0.9230158925056458,0.0002500000118743628,0.2363588809967041,0.9865079522132874,0.7629629373550415,0.6799725294113159,0.9870370626449585
33,0.9198412895202637,0.0002500000118743628,0.2261793315410614,0.9849206209182739,0.8518518805503845,0.4782811999320984,0.9833333492279053
34,0.9158729910850525,0.0002500000118743628,0.23571741580963135,0.9809523820877075,0.8796296119689941,0.3137699067592621,0.9833333492279053
35,0.9246031641960144,0.0002500000118743628,0.19606009125709534,0.9912698268890381,0.8981481194496155,0.31640973687171936,0.9722222089767456
36,0.9285714030265808,0.0002500000118743628,0.21686244010925293,0.988095223903656,0.6925926208496094,1.1305646896362305,0.8759258985519409
37,0.9158729910850525,0.0002500000118743628,0.24556128680706024,0.9865079522132874,0.8537036776542664,0.5128405094146729,0.9759259223937988
38,0.9253968000411987,0.0002500000118743628,0.2130650132894516,0.988095223903656,0.8129629492759705,0.6553107500076294,0.9555555582046509
39,0.9277777671813965,0.0002500000118743628,0.20721779763698578,0.9865079522132874,0.9037036895751953,0.31884685158729553,0.9833333492279053
40,0.9507936239242554,0.0002500000118743628,0.17256522178649902,0.9904761910438538,0.864814817905426,0.428337037563324,0.979629635810852
41,0.9341269731521606,0.0002500000118743628,0.1913367062807083,0.9896825551986694,0.8277778029441833,0.6903624534606934,0.9833333492279053
42,0.9484127163887024,0.0002500000118743628,0.1477537900209427,0.9944444298744202,0.8981481194496155,0.2632524371147156,0.9888888597488403
43,0.9373015761375427,0.0002500000118743628,0.19879138469696045,0.9920634627342224,0.7518518567085266,1.0132344961166382,0.9648148417472839
44,0.9246031641960144,0.0002500000118743628,0.2013855278491974,0.9857142567634583,0.7055555582046509,1.2918585538864136,0.8314814567565918
45,0.9119047522544861,0.0002500000118743628,0.2533146142959595,0.9857142567634583,0.8425925970077515,0.5351471304893494,0.9722222089767456
46,0.9396825432777405,0.0002500000118743628,0.1793028563261032,0.9912698268890381,0.8685185313224792,0.4056435227394104,0.9888888597488403
47,0.9452381134033203,0.0002500000118743628,0.15520073473453522,0.9920634627342224,0.8703703880310059,0.38172534108161926,0.9907407164573669
48,0.9357143044471741,0.0002500000118743628,0.19992242753505707,0.9920634627342224,0.7259259223937988,1.0556131601333618,0.9722222089767456
49,0.9388889074325562,0.0002500000118743628,0.17233052849769592,0.9896825551986694,0.8185185194015503,0.6397027373313904,0.9592592716217041
50,0.9476190209388733,0.0002500000118743628,0.1589999496936798,0.9944444298744202,0.9203703999519348,0.2275048941373825,0.9925925731658936
51,0.9396825432777405,0.0002500000118743628,0.17620594799518585,0.9904761910438538,0.8111110925674438,0.6490448117256165,0.9444444179534912
52,0.9547619223594666,0.0002500000118743628,0.15640956163406372,0.9888888597488403,0.8777777552604675,0.48298946022987366,0.9870370626449585
53,0.9603174328804016,0.0002500000118743628,0.1187242642045021,0.9984126687049866,0.9111111164093018,0.36103200912475586,0.9907407164573669
54,0.9666666388511658,0.0002500000118743628,0.11079544574022293,0.9960317611694336,0.9055555462837219,0.3220357894897461,0.9722222089767456
55,0.9603174328804016,0.0002500000118743628,0.13808178901672363,0.9928571581840515,0.8481481671333313,0.4134284555912018,0.9814814925193787
56,0.9634920358657837,0.0002500000118743628,0.11004876345396042,0.9976190328598022,0.8592592477798462,0.6444721817970276,0.9759259223937988
57,0.9539682269096375,0.0002500000118743628,0.15704330801963806,0.988095223903656,0.9185185432434082,0.23090678453445435,0.9907407164573669
58,0.946825385093689,0.0002500000118743628,0.14892929792404175,0.9888888597488403,0.47962963581085205,3.859287738800049,0.6925926208496094
59,0.9063491821289062,0.0001250000059371814,0.2798634469509125,0.970634937286377,0.7574074268341064,0.8603682518005371,0.8962963223457336
60,0.9412698149681091,0.0001250000059371814,0.18143095076084137,0.9912698268890381,0.8666666746139526,0.34272557497024536,0.9777777791023254
61,0.9317460060119629,0.0001250000059371814,0.19291147589683533,0.9896825551986694,0.914814829826355,0.24933958053588867,0.9944444298744202
62,0.9373015761375427,0.0001250000059371814,0.18971040844917297,0.9920634627342224,0.8759258985519409,0.5126674175262451,0.9814814925193787
63,0.9547619223594666,0.0001250000059371814,0.12673106789588928,0.9968253970146179,0.9037036895751953,0.26477548480033875,0.9851852059364319
64,0.9547619223594666,0.0001250000059371814,0.1427260935306549,0.9928571581840515,0.9166666865348816,0.3227764666080475,0.9685184955596924
65,0.9579365253448486,0.0001250000059371814,0.12330801784992218,0.9984126687049866,0.9240740537643433,0.1999754160642624,0.9944444298744202
66,0.9674603343009949,0.0001250000059371814,0.10173315554857254,0.9968253970146179,0.8925926089286804,0.48149776458740234,0.9814814925193787
67,0.9650793671607971,0.0001250000059371814,0.09721554070711136,0.9960317611694336,0.9185185432434082,0.2641804814338684,0.9907407164573669
68,0.9507936239242554,0.0001250000059371814,0.1489160805940628,0.9904761910438538,0.8981481194496155,0.36844369769096375,0.9759259223937988
69,0.9626984000205994,0.0001250000059371814,0.1177060678601265,0.9896825551986694,0.9222221970558167,0.21436087787151337,0.9888888597488403
70,0.9634920358657837,0.0001250000059371814,0.10156230628490448,0.9968253970146179,0.9407407641410828,0.1541699469089508,0.9925925731658936
71,0.9682539701461792,0.0001250000059371814,0.10905607789754868,0.9960317611694336,0.8888888955116272,0.3633461594581604,0.9814814925193787
72,0.973809540271759,0.0001250000059371814,0.09957093745470047,0.9912698268890381,0.8907407522201538,0.42628970742225647,0.9870370626449585
73,0.9626984000205994,0.0001250000059371814,0.11029529571533203,0.9960317611694336,0.8814814686775208,0.46738579869270325,0.970370352268219
74,0.9714285731315613,0.0001250000059371814,0.10406401753425598,0.9960317611694336,0.8870370388031006,0.403499037027359,0.9870370626449585
75,0.973809540271759,0.0001250000059371814,0.08124539256095886,0.9968253970146179,0.8833333253860474,0.4749932289123535,0.9740740656852722
76,0.9650793671607971,0.0001250000059371814,0.10017241537570953,0.9960317611694336,0.8685185313224792,0.5079800486564636,0.9907407164573669
